SEASON_ID,SERIES_ID,SEASON_NAME,SEASON_NUM,EPISODE_COUNT,AIR_DATE
30084,19845,뽀롱뽀롱 뽀로로1,1,52,2003-11-27
30085,19845,뽀롱뽀롱 뽀로로2,2,52,2005-12-03
30086,19845,뽀롱뽀롱 뽀로로3,3,52,2009-05-04
53708,45039,꼬마버스 타요2,2,26,2011-11-30
53709,45039,꼬마버스 타요1,1,26,2010-08-23
59145,58309,선물공룡 디보1,1,52,2006-11-30
62254,61194,로보카 폴리1,1,26,2011-02-28
73043,64802,마법천자문1,1,26,2011-09-05
73044,64802,마법천자문2,2,26,2015-08-12
74722,65649,뽀로로와 노래해요0,0,0,2011-06-09
74723,65649,뽀로로와 노래해요1,1,13,2005-01-01
74724,65649,뽀로로와 노래해요2,2,13,2011-06-10
74725,65649,뽀로로와 노래해요3,3,13,2016-01-01
74786,65670,요리공주 루피1,1,6,2012-09-16
74787,65671,똑똑박사 에디1,1,13,2011-10-13
75368,61194,로보카 폴리2,2,26,2011-12-26
75369,61194,로보카 폴리3,3,26,2014-02-26
75370,61194,로보카 폴리4,4,26,2015-08-31
76366,66242,한글이 야호1,1,52,2006-11-03
76367,66242,한글이 야호2,2,52,2015-05-01
79382,67489,두리둥실 뭉게공항1,1,26,2012-03-28
81707,59206,캐니멀1,1,56,2011-03-30
85952,70607,플라워링 하트1,1,26,2016-02-29
86082,70671,용감한 소방차 레이1,1,26,2016-05-30
86777,70983,레인보우 루비1,1,52,2016-03-26
86859,71026,출동 슈퍼윙스1,1,52,2014-09-01
87475,45039,꼬마버스 타요4,4,26,2016-08-31
87481,71311,두다다쿵2,2,26,2015-08-31
87486,71314,냉장고나라 코코몽3,3,26,2015-03-04
88219,71640,"도둑놈, 도둑님1",1,50,2017-05-13
89282,72237,최강전사 미니특공대1,1,26,2014-09-03
89770,72477,파워배틀 와치카1,1,1,2016-04-07
93459,71026,출동 슈퍼윙스2,2,52,2017-04-03
97775,76297,시계마을 티키톡!1,1,52,2012-09-10
98183,76533,ギャラクシーレーサースキャン2ゴー1,1,52,2010-08-09
98825,76843,터닝메카드1,1,52,2015-02-03
98885,76872,후토스1,1,1,2010-04-26
100223,77621,열일곱1,1,8,2017-04-27
100630,77918,허풍선이 과학쇼1,1,26,2014-02-01
105321,80281,라바1,1,104,2011-03-26
111134,83248,라바 아일랜드1,1,13,2018-10-19
111901,71026,출동 슈퍼윙스3,3,40,2018-09-01
111902,71026,출동 슈퍼윙스4,4,40,2019-08-03
112143,72237,최강전사 미니특공대2,2,26,2015-03-02
114652,80281,라바2,2,52,2013-01-05
114655,80281,라바3,3,104,2014-08-04
119960,87371,아기공룡 둘리 NEW1,1,26,2009-01-08
120995,87848,출동! 유후 구조대1,1,26,2019-03-15
121013,87858,띠띠뽀 띠띠뽀1,1,26,2018-01-01
124231,83248,라바 아일랜드2,2,13,2019-03-01
129816,92286,리틀 포레스트1,1,16,2019-08-12
131311,93064,English Crayon3,3,6,2019-08-01
134326,94662,몬카트1,1,52,2017-08-28
135148,72237,최강전사 미니특공대3,3,26,2018-05-30
135149,72237,최강전사 미니특공대4,4,26,2019-01-30
135150,72237,최강전사 미니특공대5,5,26,2019-08-29
135163,95112,고고 다이노1,1,26,2016-01-12
135164,95112,고고 다이노2,2,26,2016-06-10
135165,95112,고고 다이노3,3,26,2017-08-28
135166,95112,고고 다이노4,4,26,2018-08-27
135167,95112,고고 다이노5,5,26,2019-08-29
135232,95020,구름빵1,1,78,2010-09-11
135233,95020,구름빵2,2,78,2011-11-05
135234,95020,구름빵3,3,40,2016-07-23
137341,96121,헬로카봇7,7,35,2019-04-10
137438,96121,헬로카봇1,1,30,2014-08-02
139298,71311,두다다쿵1,1,26,2013-12-18
139520,45039,꼬마버스 타요3,3,26,2014-03-05
139521,45039,꼬마버스 타요5,5,26,2018-08-29
140170,97426,바다나무 스토리즈1,1,52,2020-06-30
140171,97426,바다나무 스토리즈2,2,0,
141363,98196,날아라 슛돌이 - 뉴 비기닝1,1,2,2020-01-07
