SERIES_ID,SUB_CATEGORY,TITLE,GENRE,SERIES_RATING,SEASON_NUM,SERIES_OVERVIEW,CAST,CREW,LOGO,POSTER,TRAILER
19845,시리즈,뽀롱뽀롱 뽀로로,"애니메이션, Action & Adventure, Sci-Fi & Fantasy, 가족, Kids, 코미디",ALL,8,"세상이 온통 하얀 눈으로 뒤덮인 어느 추운 나라 작은 섬. 뽀롱뽀롱 숲 속 마을에는 뽀로로, 크롱과 에디, 루피, 포비, 해리, 패티 등의 동물 친구들이 모여 살고 있습니다. 호기심 많은 말썽꾸러기 뽀로로와 크롱 때문에 숲 속 마을에서는 항상 크고 작은 소동이 끓이지 않지만, 친구들은 서로 이해하고 도와가며 함께 지혜롭게 살아가는 법을 터득하고 있습니다.","Lee Sun, Hong So-young, Lee Mi-ja",,,https://image.tmdb.org/t/p/original/oD2r5c3IG4C6RDx847tG8OtLutK.jpg,https://www.youtube.com/watch?v=None
30936,시리즈,뚜바뚜바 눈보리,"애니메이션, Kids",ALL,2,"지구 어딘가에 존재할지도 모르는 요정들의 세계, 뚜바뚜바! 그곳은 보리 요정들이 평화롭고 행복하게 살고 있는, 4계절이 동시에 존재하는 환상과 행복의 낙원입니다.",,,,https://image.tmdb.org/t/p/original/vDAsfGZrGQeiwKJ5ES56uuOS994.jpg,https://www.youtube.com/watch?v=None
45039,시리즈,꼬마버스 타요,"애니메이션, Kids, 코미디, 가족",ALL,7,다양한 자동차 친구들과 함께 '서울시티'의 버스로 활약하면서 매일 매일 조금씩 성장해 가는 타요의 이야기를 그린 애니메이션,"Moon Nam-sook, Um Sang-hyun, Eun Yeong Seon",,https://image.tmdb.org/t/p/original/qAncIouNc4K4B0K0keXhNyWQYBk.png,https://image.tmdb.org/t/p/original/3sgqddHaU7Ww76hGVlT3utyvGrz.jpg,https://www.youtube.com/watch?v=None
58309,시리즈,선물공룡 디보,"애니메이션, Kids",ALL,2,"아이들 방에 달린 모빌 위에 작은 세상이 펼쳐져 있습니다. 그곳은 바로 폭신폭신 마을 코지랜드입니다.

디보는 코지랜드 친구들에게 매일 하나씩 선물을 주며, 친구들을 모험의 세계로 초대하는 이야기.",,,,,https://www.youtube.com/watch?v=None
59206,시리즈,캐니멀,"애니메이션, Kids",ALL,2,"귀엽고, 호기심 많고, 장난기 많은 캐니멀 친구들~ 캐니멀이 지나가면 매일 똑같고 지루하기만 하던 모든 것들이 신나고 새로운 것들로 변신!",,,,,https://www.youtube.com/watch?v=None
61194,시리즈,로보카 폴리,"애니메이션, Kids, 가족, Action & Adventure, 코미디, Sci-Fi & Fantasy",ALL,5,"로보카폴리 구조본부가 있는 브룸스타운에는 사고뭉치 골목대장 피터가 아빠, 엄마, 동생 루시, 반려견 버디와 함께 단란한 가정에 살고 있다. 피터는 단짝친구 조니, 새침데기 신디, 겁 많은 모범생 찰스와 함께 재밌는 놀거리와 신나는 모험을 찾아 마을 곳곳을 누빈다. 하지만 아이들의 즐거운 일상 뒤편에는 늘 안전사고의 위험이 도사리고 있다. 집, 학교, 놀이터 등에서 실수와 부주의로 발생하는 위급한 상황과 각종 재난재해에 맞서 소중한 생명을 지켜주는 우리의 수퍼히어로, “로이!” 구조가 끝난 뒤에는 어린이 눈높이에 맞춘 쉽고 체계적인 설명으로 사고를 예방할 수 있는 안전수칙을 전달해 준다. 용감한 로이와 구조대원들 덕분에 브룸스타운은 늘 활기차고 평화롭다!",,,https://image.tmdb.org/t/p/original/5IxxxdRH50GcicKqujDDzxQVAZc.png,https://image.tmdb.org/t/p/original/1LbEo2Gk3IP5DjN07K7xJQ9usEw.jpg,https://www.youtube.com/watch?v=None
64802,시리즈,마법천자문,"애니메이션, Kids, Sci-Fi & Fantasy",ALL,2,"세상에 무서울 것이 없는 천방지축 손오공과 새침하지만 슬기롭게 그를 돕는 삼장, 덜렁대고 겁은 많은 옥동자는 대마왕의 부활을 돕는 혼세마왕 일당과 맞서 천자패를 찾기 위한 모험의 길을 떠난다.",,,,,https://www.youtube.com/watch?v=None
65649,시리즈,뽀로로와 노래해요,"Kids, 애니메이션",ALL,3,"뽀로로와 친구들이 부르는 ""뽀로로와 노래해요""는 아이들의 상상력을 자극하는 재미난 내용을 가사에 신나는 율동을 곁들여 아이들이 쉽게 따라 부르고 동작을 익히며 가벼운 운동도 할 수 있는 어린이용 뮤직비디오입니다. 뽀로로와 함께 노래와 춤을!! 다 같이 신나게 놀아보아요~",,,,,https://www.youtube.com/watch?v=None
65670,시리즈,요리공주 루피,"애니메이션, Kids",ALL,1,"요리를 좋아하는 뽀로로의 친구 루피가 요리공주로 변신해 우리를 찾아왔어요. 아삭아삭 매콤한 배추김치! 보글보글 구수한 된장찌개! 요리공주 루피와 함께 냠냠짭짭 맛있고, 영양 많은 요리의 세계로 떠나요!",,아이코닉스,,,https://www.youtube.com/watch?v=None
65671,시리즈,똑똑박사 에디,"애니메이션, Kids",ALL,2,"뽀롱뽀롱 숲속 마을에 무슨 일이 생기거나, 뽀로로와 친구들에게 알쏭달쏭 궁금한 일이 생길 때는 영리한 꼬마여우 똑똑박사 에디에게 물어보세요.  똑똑박사 에디는 아무리 어려운 문제라도 척척 아주 깨끗하게 해결해준답니다.  우리들의 친구 똑똑박사 에디와 함께 하는 즐거운 놀이학습의 세계에 여러분을 초대합니다.",,Iconix,,,https://www.youtube.com/watch?v=None
