SEASON_ID,SERIES_ID,SEASON_NAME,SEASON_NUM,EPISODE_COUNT,AIR_DATE
308,106,The Andy Griffith Show1,1,32,1960-10-03
309,106,The Andy Griffith Show2,2,31,1961-10-02
310,106,The Andy Griffith Show8,8,30,1967-09-11
311,106,The Andy Griffith Show4,4,32,1963-09-30
312,106,The Andy Griffith Show3,3,32,1962-10-01
313,106,The Andy Griffith Show5,5,32,1964-09-21
314,106,The Andy Griffith Show6,6,30,1965-09-13
315,106,The Andy Griffith Show7,7,30,1966-09-12
316,106,The Andy Griffith Show0,0,7,1960-02-15
849,269,원 트리 힐1,1,22,2003-09-23
850,269,원 트리 힐2,2,23,2004-09-21
851,269,원 트리 힐3,3,22,2005-10-05
852,269,원 트리 힐4,4,21,2006-09-27
853,269,원 트리 힐5,5,18,2008-01-08
854,269,원 트리 힐6,6,24,2008-09-01
855,269,원 트리 힐7,7,22,2009-09-14
856,269,원 트리 힐8,8,22,2010-09-14
857,269,원 트리 힐9,9,13,2012-01-11
858,269,원 트리 힐0,0,3,
1345,474,Nash Bridges1,1,8,1996-03-29
1346,474,Nash Bridges5,5,22,1999-09-24
1347,474,Nash Bridges6,6,22,2000-10-06
1348,474,Nash Bridges3,3,23,1997-09-19
1349,474,Nash Bridges2,2,23,1996-09-13
1350,474,Nash Bridges4,4,24,1998-09-25
1417,496,Family Ties7,7,26,1988-10-30
1418,496,Family Ties5,5,30,1986-09-24
1419,496,Family Ties6,6,28,1987-09-12
1420,496,Family Ties3,3,24,1984-09-19
1421,496,Family Ties2,2,22,1983-09-28
1422,496,Family Ties4,4,24,1985-09-25
1423,496,Family Ties1,1,22,1982-09-22
1424,496,Family Ties0,0,8,1985-09-23
1631,537,Hey Arnold!0,0,6,1994-06-16
1632,537,Hey Arnold!2,2,37,1997-09-22
1633,537,Hey Arnold!4,4,31,1999-03-10
1634,537,Hey Arnold!1,1,38,1996-10-07
1635,537,Hey Arnold!3,3,38,1998-08-31
1636,537,Hey Arnold!5,5,42,2001-03-04
1829,604,Teen Titans1,1,13,2003-07-19
1830,604,Teen Titans5,5,13,2005-09-24
1831,604,Teen Titans4,4,13,2005-01-17
1832,604,Teen Titans3,3,13,2004-08-28
1833,604,Teen Titans2,2,13,2004-01-10
1834,604,Teen Titans0,0,1,2005-01-10
1835,606,"Ed, Edd n Eddy1",1,26,1999-01-04
1836,606,"Ed, Edd n Eddy2",2,26,1999-11-26
1837,606,"Ed, Edd n Eddy3",3,25,2001-04-06
1838,606,"Ed, Edd n Eddy4",4,25,2002-09-27
1839,606,"Ed, Edd n Eddy5",5,22,2005-11-04
1840,606,"Ed, Edd n Eddy6",6,2,2008-06-29
1841,606,"Ed, Edd n Eddy0",0,12,2002-07-05
1989,655,스타 트렉: 넥스트 제너레이션1,1,25,1987-09-28
1990,655,스타 트렉: 넥스트 제너레이션2,2,22,1988-11-21
1991,655,스타 트렉: 넥스트 제너레이션4,4,26,1990-09-24
1992,655,스타 트렉: 넥스트 제너레이션5,5,26,1991-09-23
1993,655,스타 트렉: 넥스트 제너레이션6,6,26,1992-09-21
1994,655,스타 트렉: 넥스트 제너레이션7,7,25,1993-09-20
1995,655,스타 트렉: 넥스트 제너레이션3,3,26,1989-09-25
1996,655,스타 트렉: 넥스트 제너레이션0,0,137,2012-07-24
2111,720,욕심쟁이 오리아저씨1,1,66,1987-09-18
2112,720,욕심쟁이 오리아저씨2,2,10,1988-11-24
2113,720,욕심쟁이 오리아저씨3,3,18,1989-09-18
2115,720,욕심쟁이 오리아저씨4,4,7,1990-09-10
2246,764,미드소머 머더스10,10,8,2006-11-11
2247,764,미드소머 머더스4,4,6,2000-09-10
2248,764,미드소머 머더스2,2,4,1999-01-20
2249,764,미드소머 머더스3,3,4,1999-12-31
2250,764,미드소머 머더스1,1,5,1997-03-23
2251,764,미드소머 머더스6,6,5,2003-01-03
2252,764,미드소머 머더스5,5,4,2002-06-16
2253,764,미드소머 머더스7,7,6,2003-11-02
2254,764,미드소머 머더스11,11,7,2008-01-01
2255,764,미드소머 머더스8,8,9,2004-10-10
2256,764,미드소머 머더스9,9,8,2005-10-09
2257,764,미드소머 머더스12,12,7,2009-07-22
2258,764,미드소머 머더스13,13,8,2010-02-10
2260,764,미드소머 머더스14,14,8,2011-03-23
2261,764,미드소머 머더스15,15,6,2012-02-01
2545,873,형사 콜롬보1,1,7,1971-09-15
2546,873,형사 콜롬보3,3,8,1973-09-23
2547,873,형사 콜롬보2,2,8,1972-09-17
2548,873,형사 콜롬보5,5,6,1975-09-14
2549,873,형사 콜롬보4,4,6,1974-09-15
2550,873,형사 콜롬보6,6,3,1976-10-10
2551,873,형사 콜롬보7,7,5,1977-11-21
2552,873,형사 콜롬보10,10,14,1990-12-09
2553,873,형사 콜롬보8,8,4,1989-02-06
2554,873,형사 콜롬보9,9,6,1989-11-25
2654,918,M*A*S*H5,5,24,1976-09-21
2655,918,M*A*S*H4,4,24,1975-09-12
2656,918,M*A*S*H1,1,24,1972-09-17
2657,918,M*A*S*H3,3,24,1974-09-10
2658,918,M*A*S*H2,2,24,1973-09-15
2659,918,M*A*S*H7,7,25,1978-09-18
2660,918,M*A*S*H6,6,24,1977-09-20
2661,918,M*A*S*H8,8,25,1979-09-17
2662,918,M*A*S*H10,10,21,1981-10-26
2663,918,M*A*S*H9,9,20,1980-11-17
2664,918,M*A*S*H11,11,16,1982-10-25
3572,1396,브레이킹 배드1,1,7,2008-01-20
3573,1396,브레이킹 배드2,2,13,2009-03-08
3575,1396,브레이킹 배드3,3,13,2010-03-21
3576,1396,브레이킹 배드4,4,13,2011-07-17
3577,1396,브레이킹 배드0,0,9,2009-02-17
3578,1396,브레이킹 배드5,5,16,2012-07-15
3581,456,심슨 가족0,0,80,1987-04-19
3582,456,심슨 가족1,1,13,1989-12-17
3583,456,심슨 가족2,2,22,1990-10-11
3584,456,심슨 가족3,3,24,1991-09-19
3585,456,심슨 가족4,4,22,1992-09-24
3586,456,심슨 가족5,5,22,1993-09-30
3587,456,심슨 가족6,6,25,1994-09-04
3588,456,심슨 가족7,7,25,1995-09-17
3589,456,심슨 가족8,8,25,1996-10-27
3590,456,심슨 가족9,9,25,1997-09-21
3591,456,심슨 가족10,10,23,1998-08-23
3592,456,심슨 가족11,11,22,1999-09-26
3593,456,심슨 가족12,12,21,2000-11-01
3594,456,심슨 가족13,13,22,2001-11-06
3595,456,심슨 가족14,14,22,2002-11-03
3596,456,심슨 가족15,15,22,2003-11-02
3597,456,심슨 가족16,16,21,2004-11-07
3598,456,심슨 가족17,17,22,2005-09-11
3599,456,심슨 가족18,18,22,2006-09-10
3600,456,심슨 가족19,19,20,2007-09-23
3601,456,심슨 가족20,20,21,2008-09-28
3602,456,심슨 가족21,21,23,2009-09-27
3603,456,심슨 가족22,22,22,2010-09-26
3604,456,심슨 가족23,23,22,2011-09-25
3605,456,심슨 가족24,24,22,2012-09-30
3606,456,심슨 가족25,25,22,2013-09-29
3624,1399,왕좌의 게임1,1,10,2011-04-18
3625,1399,왕좌의 게임2,2,10,2012-03-31
3626,1399,왕좌의 게임3,3,10,2013-03-31
3627,1399,왕좌의 게임0,0,283,2010-12-05
3628,1399,왕좌의 게임4,4,10,2014-04-06
3643,1402,워킹 데드1,1,6,2010-10-31
3644,1402,워킹 데드2,2,13,2011-10-16
3645,1402,워킹 데드3,3,16,2012-10-14
3646,1402,워킹 데드0,0,49,2010-10-11
3647,1402,워킹 데드4,4,16,2013-10-13
3650,1404,척1,1,13,2007-09-24
3651,1404,척2,2,22,2008-09-29
3652,1404,척3,3,19,2010-01-10
3653,1404,척4,4,24,2010-09-20
3654,1404,척0,0,19,2009-02-03
3655,1404,척5,5,13,2011-10-28
3697,1412,애로우1,1,23,2012-10-10
3698,1412,애로우0,0,41,2013-10-02
3699,1412,애로우2,2,23,2013-10-09
3700,1413,아메리칸 호러 스토리1,1,12,2011-10-05
3702,1413,아메리칸 호러 스토리2,2,13,2012-10-17
3703,1413,아메리칸 호러 스토리3,3,13,2013-10-09
3715,1416,그레이 아나토미3,3,25,2006-09-21
3716,1416,그레이 아나토미4,4,17,2007-09-27
3717,1416,그레이 아나토미5,5,24,2008-09-25
3718,1416,그레이 아나토미1,1,9,2005-03-27
3719,1416,그레이 아나토미2,2,27,2005-09-25
3720,1416,그레이 아나토미6,6,24,2009-09-24
3721,1416,그레이 아나토미7,7,22,2010-09-23
3722,1416,그레이 아나토미0,0,52,2006-01-08
3723,1416,그레이 아나토미8,8,24,2011-09-22
3724,1416,그레이 아나토미9,9,24,2012-09-27
3725,1416,그레이 아나토미10,10,24,2013-09-26
3751,1421,모던 패밀리1,1,24,2009-09-23
3752,1421,모던 패밀리2,2,24,2010-09-22
3753,1421,모던 패밀리3,3,24,2011-09-21
3755,1421,모던 패밀리4,4,24,2012-09-26
3756,1421,모던 패밀리5,5,24,2013-09-25
3792,1431,CSI: 라스베가스1,1,23,2000-10-06
3793,1431,CSI: 라스베가스2,2,23,2001-09-27
3794,1431,CSI: 라스베가스3,3,23,2002-09-25
3795,1431,CSI: 라스베가스4,4,23,2003-09-24
3796,1431,CSI: 라스베가스5,5,25,2004-09-23
3797,1431,CSI: 라스베가스6,6,24,2005-09-22
3798,1431,CSI: 라스베가스7,7,24,2006-09-21
3799,1431,CSI: 라스베가스8,8,17,2007-09-27
3800,1431,CSI: 라스베가스9,9,24,2008-10-09
3801,1431,CSI: 라스베가스10,10,23,2009-09-24
3802,1431,CSI: 라스베가스11,11,22,2010-09-23
3803,1431,CSI: 라스베가스0,0,1,2015-09-27
3804,1431,CSI: 라스베가스12,12,22,2011-09-21
3805,1431,CSI: 라스베가스13,13,22,2012-09-26
3806,1431,CSI: 라스베가스14,14,22,2013-09-25
3811,1433,아메리칸 대드!1,1,7,2005-02-06
3812,1433,아메리칸 대드!3,3,19,2006-09-10
3813,1433,아메리칸 대드!4,4,16,2007-09-30
3814,1433,아메리칸 대드!5,5,20,2008-09-28
3815,1433,아메리칸 대드!7,7,19,2010-10-03
3816,1433,아메리칸 대드!0,0,9,
3817,1433,아메리칸 대드!8,8,18,2011-09-25
3818,1433,아메리칸 대드!9,9,19,2012-09-30
3819,1433,아메리칸 대드!10,10,20,2013-09-29
3820,1433,아메리칸 대드!2,2,16,2005-09-11
3848,1438,더 와이어1,1,13,2002-06-02
3849,1438,더 와이어2,2,12,2003-06-01
3850,1438,더 와이어3,3,12,2004-09-19
3851,1438,더 와이어4,4,13,2006-09-10
3852,1438,더 와이어5,5,10,2008-01-06
3853,1438,더 와이어0,0,7,2006-08-20
3870,1447,싸이크1,1,15,2006-07-07
3871,1447,싸이크2,2,16,2007-07-13
3872,1447,싸이크3,3,16,2008-07-18
3873,1447,싸이크4,4,16,2009-08-07
3874,1447,싸이크5,5,16,2010-07-14
3875,1447,싸이크0,0,24,2007-01-01
3876,1447,싸이크6,6,16,2011-10-12
3877,1447,싸이크7,7,15,2013-02-27
3878,1447,싸이크8,8,10,2014-01-08
3950,1466,조이1,1,24,2004-09-08
3951,1466,조이2,2,22,2005-09-21
3952,1466,조이0,0,1,
3992,1480,앨리의 사랑 만들기2,2,23,1998-09-14
