SEASON_ID,SERIES_ID,SEASON_NAME,SEASON_NUM,EPISODE_COUNT,AIR_DATE
217,79,도라도라 영어나라1,1,26,2000-08-14
218,79,도라도라 영어나라2,2,27,2002-03-11
219,79,도라도라 영어나라3,3,24,2003-08-26
220,79,도라도라 영어나라4,4,25,2004-10-06
221,79,도라도라 영어나라5,5,25,2008-09-18
223,79,도라도라 영어나라6,6,20,2010-11-05
224,79,도라도라 영어나라7,7,20,2012-07-10
225,79,도라도라 영어나라8,8,22,2013-03-18
308,106,The Andy Griffith Show1,1,32,1960-10-03
309,106,The Andy Griffith Show2,2,31,1961-10-02
310,106,The Andy Griffith Show8,8,30,1967-09-11
311,106,The Andy Griffith Show4,4,32,1963-09-30
312,106,The Andy Griffith Show3,3,32,1962-10-01
313,106,The Andy Griffith Show5,5,32,1964-09-21
314,106,The Andy Griffith Show6,6,30,1965-09-13
315,106,The Andy Griffith Show7,7,30,1966-09-12
316,106,The Andy Griffith Show0,0,7,1960-02-15
849,269,원 트리 힐1,1,22,2003-09-23
850,269,원 트리 힐2,2,23,2004-09-21
851,269,원 트리 힐3,3,22,2005-10-05
852,269,원 트리 힐4,4,21,2006-09-27
853,269,원 트리 힐5,5,18,2008-01-08
854,269,원 트리 힐6,6,24,2008-09-01
855,269,원 트리 힐7,7,22,2009-09-14
856,269,원 트리 힐8,8,22,2010-09-14
857,269,원 트리 힐9,9,13,2012-01-11
858,269,원 트리 힐0,0,3,
925,314,스타 트렉: 엔터프라이즈1,1,25,2001-09-26
926,314,스타 트렉: 엔터프라이즈2,2,26,2002-09-08
927,314,스타 트렉: 엔터프라이즈3,3,24,2003-09-10
928,314,스타 트렉: 엔터프라이즈4,4,22,2004-10-08
929,314,스타 트렉: 엔터프라이즈0,0,64,
1345,474,Nash Bridges1,1,8,1996-03-29
1346,474,Nash Bridges5,5,22,1999-09-24
1347,474,Nash Bridges6,6,22,2000-10-06
1348,474,Nash Bridges3,3,23,1997-09-19
1349,474,Nash Bridges2,2,23,1996-09-13
1350,474,Nash Bridges4,4,24,1998-09-25
1417,496,Family Ties7,7,26,1988-10-30
1418,496,Family Ties5,5,30,1986-09-24
1419,496,Family Ties6,6,28,1987-09-12
1420,496,Family Ties3,3,24,1984-09-19
1421,496,Family Ties2,2,22,1983-09-28
1422,496,Family Ties4,4,24,1985-09-25
1423,496,Family Ties1,1,22,1982-09-22
1424,496,Family Ties0,0,8,1985-09-23
1540,517,The Ultimate Fighter0,0,60,2010-06-16
1541,517,The Ultimate Fighter1,1,16,2005-01-17
1542,517,The Ultimate Fighter2,2,14,2005-08-22
1543,517,The Ultimate Fighter3,3,14,2006-04-06
1544,517,The Ultimate Fighter4,4,14,2006-08-17
1545,517,The Ultimate Fighter5,5,14,2007-04-05
1546,517,The Ultimate Fighter6,6,14,2007-09-19
1547,517,The Ultimate Fighter7,7,14,2008-04-02
1548,517,The Ultimate Fighter8,8,14,2008-09-17
1549,517,The Ultimate Fighter9,9,14,2009-04-01
1550,517,The Ultimate Fighter11,11,13,2010-03-31
1551,517,The Ultimate Fighter12,12,13,2010-09-14
1552,517,The Ultimate Fighter13,13,11,2011-03-30
1553,517,The Ultimate Fighter14,14,12,2011-09-21
1554,517,The Ultimate Fighter15,15,13,2012-03-09
1555,517,The Ultimate Fighter17,17,13,2013-01-22
1556,517,The Ultimate Fighter18,18,14,2013-09-04
1557,517,The Ultimate Fighter16,16,13,2012-09-14
1664,549,로 앤 오더1,1,22,1990-09-13
1665,549,로 앤 오더2,2,22,1991-09-17
1666,549,로 앤 오더3,3,22,1992-09-23
1667,549,로 앤 오더4,4,22,1993-09-15
1668,549,로 앤 오더5,5,23,1994-09-21
1669,549,로 앤 오더6,6,23,1995-09-20
1670,549,로 앤 오더8,8,24,1997-09-24
1671,549,로 앤 오더7,7,23,1996-09-18
1672,549,로 앤 오더9,9,24,1998-09-23
1673,549,로 앤 오더10,10,24,1999-09-22
1674,549,로 앤 오더12,12,24,2001-09-26
1675,549,로 앤 오더11,11,24,2000-10-18
1676,549,로 앤 오더13,13,24,2002-10-02
1677,549,로 앤 오더14,14,24,2003-09-24
1678,549,로 앤 오더15,15,24,2004-09-22
1679,549,로 앤 오더17,17,22,2006-09-22
1680,549,로 앤 오더16,16,22,2005-09-21
1681,549,로 앤 오더19,19,22,2008-11-05
1682,549,로 앤 오더18,18,18,2008-01-02
1683,549,로 앤 오더20,20,23,2009-09-25
1684,549,로 앤 오더0,0,7,
1989,655,스타 트렉: 넥스트 제너레이션1,1,25,1987-09-28
1990,655,스타 트렉: 넥스트 제너레이션2,2,22,1988-11-21
1991,655,스타 트렉: 넥스트 제너레이션4,4,26,1990-09-24
1992,655,스타 트렉: 넥스트 제너레이션5,5,26,1991-09-23
1993,655,스타 트렉: 넥스트 제너레이션6,6,26,1992-09-21
1994,655,스타 트렉: 넥스트 제너레이션7,7,25,1993-09-20
1995,655,스타 트렉: 넥스트 제너레이션3,3,26,1989-09-25
1996,655,스타 트렉: 넥스트 제너레이션0,0,137,2012-07-24
2042,688,웨스트 윙0,0,3,2001-10-03
2043,688,웨스트 윙1,1,22,1999-09-22
2044,688,웨스트 윙2,2,22,2000-10-04
2045,688,웨스트 윙3,3,21,2001-10-10
2046,688,웨스트 윙4,4,23,2002-09-25
2047,688,웨스트 윙5,5,22,2003-09-24
2048,688,웨스트 윙6,6,22,2004-10-20
2049,688,웨스트 윙7,7,22,2005-09-25
