,SERIES_ID,SUB_CATEGORY,TITLE,GENRE,SERIES_RATING,SEASON_NUM,SERIES_OVERVIEW,CAST,CREW,LOGO,POSTER,TRAILER
1,95,시리즈,버피와 뱀파이어,"코미디, 드라마",15,7,전설로만 내려오고 있는 뱀파이어 슬레이어의 숙명을 지니고 살아가는 평범한 여학생이 친구들과 많은 조력자들과 함께 뱀파이어 및 괴물들을 퇴치해나가는 이야기,"사라 미셸 갤러, Nicholas Brendon, 앨리슨 해니건","드류 고다드, Drew Z. Greenberg, Rebecca Rand Kirshner",https://image.tmdb.org/t/p/original/5l2r7nv4dGWq1YQWaqBRe0FkQhi.png,https://image.tmdb.org/t/p/original/41jsOEYsh9lJBc6AZqGpR1ETpx5.jpg,https://www.youtube.com/watch?v=-1v_q6TWAL4
2,121,시리즈,닥터 후,드라마,12,26,'타디스'를 타고 미래와 과거를 넘나들며 외계로부터 지구를 지키기 위해 싸우는 닥터의 시간 여행 이야기,Sylvester McCoy,John Nathan-Turner,https://image.tmdb.org/t/p/original/ravZWAkRX4EMAfGlR9BtMXdvurO.png,https://image.tmdb.org/t/p/original/xinqAmYrZ1TEwowcQhgTkZVtVE0.jpg,https://www.youtube.com/watch?v=_iSzCV3C-50
3,269,시리즈,One Tree Hill,Drama,16,9,"In Tree Hill, North Carolina two half brothers share a last name and nothing else. Brooding, blue-collar Lucas is a talented street-side basketball player, but his skills are appreciated only by his friends at the river court. Popular, affluent Nathan basks in the hero-worship of the town, as the star of his high school team. And both boys are the son of former college ball player Dan Scott whose long ago choice to abandon Lucas and his mother Karen, will haunt him long into his life with wife Deb and their son Nathan.","James Lafferty, Bethany Joy Lenz, Sophia Bush","Joe Davola, Brian Robbins, Mark Schwahn",https://image.tmdb.org/t/p/original/oEcHVvhnD4XHwdbR7Bg2F7y2vZB.png,https://image.tmdb.org/t/p/original/sOrelBaAhp7DZbPTivDwKEyPslC.jpg,https://www.youtube.com/watch?v=GIFbz7uTOKI
4,474,시리즈,Nash Bridges,,,6,Fun-loving San Francisco Police Department investigator Nash Bridges is part of the elite Special Investigations Unit. He tackles crime using his keen sense of humor and charm. Joe Dominguez comes out of retirement to become Bridges' wisecracking yet more rule-abiding partner.,"Don Johnson, Cheech Marin, Jodi Lyn O'Keefe","Daryl Tucker, Carlton Cuse",https://image.tmdb.org/t/p/original/kr0BXyB4mSeQmAqGK0Uwt6KOFdh.png,https://image.tmdb.org/t/p/original/hJeHSCFoxWN2Pt2lg56CKOi9g87.jpg,https://www.youtube.com/watch?v=None
5,496,시리즈,Family Ties,,12,7,"Former 1960s flower children Steven and Elyse Keaton raise their conservative son Alex, daughters Mallory and Jennifer, and later, youngest child Andrew.","Meredith Baxter, Michael Gross, Michael J. Fox","Lloyd Garver, Gary David Goldberg, Gary David Goldberg",https://image.tmdb.org/t/p/original/gq0NEOo3W05vn3tfPL2M4cuu2q7.png,https://image.tmdb.org/t/p/original/3JVBzBToscU4uCyA67piI1RNarz.jpg,https://www.youtube.com/watch?v=None
6,764,시리즈,Midsomer Murders,,12,24,"The peacefulness of the Midsomer community is shattered by violent crimes, suspects are placed under suspicion, and it is up to a veteran DCI and his young sergeant to calmly and diligently eliminate the innocent and ruthlessly pursue the guilty. ","Neil Dudgeon, Nick Hendrix, Fiona Dolman","Kirsten Gair, Caroline Graham, Jim Parker",https://image.tmdb.org/t/p/original/m2Jiqj8b4OjkjBHfp2px8gucB4h.png,https://image.tmdb.org/t/p/original/pz7tsWxe0TTdfJnWPjZAEnrSl5M.jpg,https://www.youtube.com/watch?v=ym8b4UJDqcw
7,873,시리즈,형사 콜롬보,"범죄, 드라마, 미스터리",12,10,"후줄근한 옷차림에 의미 없는 잡담을 늘어 놓다가, 날카로운 질문으로 간담을 서늘하게 만드는 LA 경찰청의 형사 콜롬보. 드라마 도입부에 살인범이 먼저 밝혀지고, 범인의 완벽한 계획 범죄가 콜롬보에 의해 밝혀지며 사건이 해결되는 형식의 형사 추리물",Peter Falk,"Peter Falk, Dean Hargrove, Everett Chambers",https://image.tmdb.org/t/p/original/vzVpuWWpJN3fuUfvj5P80GypNhj.png,https://image.tmdb.org/t/p/original/2JCD8vab3fircOU8cM2HJCxfv4I.jpg,https://www.youtube.com/watch?v=8ZOHmz3bfAI
8,1396,시리즈,브레이킹 배드,"드라마, 범죄",19,5,2008년 1월 AMC에서 방영을 시작한 범죄 스릴러. Breaking Bad는 막가기를 뜻하는 미국 남부 지방의 속어이다. 한때 노벨화학상까지 바라 볼 정도로 뛰어난 과학자였던 고등학교 화학 교사 월터 화이트는 자신의 50세 생일 날에 폐암 3기 진단을 받는다. 어느 날 동서와 함께 마약 단속 현장을 참관한 그는 현장에서 달아나는 옛 제자 제시를 발견한다. 뇌성마비에 걸린 고등학생 아들과 임신한 아내를 위해 제시에게 동업을 제의한 월터는 자신의 화학지식을 이용해 전례없는 고순도 고품질의 메스암페타민을 제조한다.,"브라이언 크랜스턴, 아론 폴, 애나 건","Jennifer Bryan, Moira Walley-Beckett, Thomas Schnauz",https://image.tmdb.org/t/p/original/chw44B2VnLha8iiTdyZcIW0ZELC.png,https://image.tmdb.org/t/p/original/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg,https://www.youtube.com/watch?v=XZ8daibM3AE
9,1412,시리즈,애로우,"범죄, 드라마",15,8,스탈링 시티의 잘나가는 재벌 2세 올리버 퀸은 아버지와 보트 여행에 나섰다가 태풍을 만나 난파를 당한다. 그는 5년 동안 외딴 섬에 표류되어 생존을 위한 처절한 사투를 벌이고 마침내 고향으로 돌아온다. 아버지의 유언에 따라 스탈링 시티의 엘리트 범죄자들을 사냥하기위해 스스로 자경단원을 자처하는 올리버퀸. 그러나 그의 앞날에는 그의 상상보다 더 큰 진실과 음모가 기다리고 있는데...,"Stephen Amell, David Ramsey, Katie Cassidy","Mark Bunting, Beth Schwartz, Marc Guggenheim",https://image.tmdb.org/t/p/original/jUu02PexmdU5xAeDYsv1huceChE.png,https://image.tmdb.org/t/p/original/gKG5QGz5Ngf8fgWpBsWtlg5L2SF.jpg,https://www.youtube.com/watch?v=qo6hU98dXOc
10,1416,시리즈,그레이 아나토미,드라마,19,20,"시애틀에 있는 병원 의사들의 삶에 대한 이야기. 의사로서의 감정과 개인적인 감정에 대한 묘사가 적절히 조화를 이루어 그려진다. 인턴이지만 결국 레지던트가 되는 메러디스 그레이는 시애틀 병원의 동료 의사들과 함께 사적, 직업적인 열정에 휩쓸리는 자신을 발견한다.","엘렌 폼페오, Chandra Wilson, James Pickens Jr.",숀다 라임스,https://image.tmdb.org/t/p/original/keAZqhg9lmOHEhmG5njqIsuxf0f.png,https://image.tmdb.org/t/p/original/jcEl8SISNfGdlQFwLzeEtsjDvpw.jpg,https://www.youtube.com/watch?v=qbkEtYz9acA
